Last,First,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
Landreaux,Ken,31,103,310,283,34,74,13,2,4,29,10,5,22,39
Landrum,Bill,28,10,2,2,0,0,0,0,0,0,0,0,0,0
Landrum,Tito,31,96,230,205,24,43,7,1,2,17,3,1,20,41
Langford,Rick,34,1,0,0,0,0,0,0,0,0,0,0,0,0
Lansford,Carney,29,151,640,591,80,168,16,4,19,72,16,7,39,51
LaPoint,Dave,26,24,12,8,0,0,0,0,0,0,0,0,0,1
Larkin,Barry,22,41,169,159,27,45,4,3,3,19,8,0,9,21
Laskey,Bill,28,20,1,1,0,0,0,0,0,0,0,0,0,1
Laudner,Tim,28,76,223,193,21,47,10,0,10,29,1,0,24,56
LaValliere,Mike,25,110,350,303,18,71,10,2,3,30,0,1,36,37
Law,Vance,29,112,402,360,37,81,17,2,5,44,3,5,37,66
Law,Rudy,29,87,341,307,42,80,26,5,1,36,14,6,29,22
Lawless,Tom,29,46,45,39,5,11,1,0,0,3,8,1,2,8
Leach,Terry,32,6,0,0,0,0,0,0,0,0,0,0,0,0
Leach,Rick,29,110,266,246,35,76,14,1,5,39,0,0,13,24
Lee Jackson,Roy,32,1,0,0,0,0,0,0,0,0,0,0,0,0
Lee,Manuel,21,35,85,78,8,16,0,1,1,7,0,1,4,10
Lefebvre,Joe,30,14,21,18,0,2,0,0,0,0,0,0,3,5
Lefferts,Craig,28,84,9,8,1,1,0,0,1,1,0,0,0,4
Legg,Greg,26,11,20,20,2,9,1,0,0,1,0,0,0,3
Lemon,Chet,31,126,457,403,45,101,21,3,12,53,2,1,39,53
Leonard,Jeffrey,30,89,368,341,48,95,11,3,6,42,16,3,20,62
Lerch,Randy,31,4,3,3,0,1,1,0,0,0,0,0,0,1
Lindeman,Jim,24,19,58,55,7,14,1,0,1,6,1,1,2,10
Little,Bryan,26,34,82,76,6,14,2,0,0,2,0,0,6,11
Lollar,Tim,30,1,1,1,0,1,0,0,0,0,0,0,0,0
Lombardi,Phil,23,20,41,36,6,10,3,0,2,6,0,0,4,7
Lombardozzi,Steve,26,156,515,453,53,103,20,5,8,33,3,1,52,76
Lopes,Davey,41,96,304,255,49,70,10,3,7,35,25,8,43,25
Lopez,Aurelio,37,45,10,9,0,0,0,0,0,0,0,0,0,6
Lowry,Dwight,28,56,174,150,21,46,4,0,3,18,0,0,17,19
Lynch,Ed,30,24,33,30,0,1,0,0,0,0,0,0,2,17
Lynn,Fred,34,112,456,397,67,114,13,1,23,67,2,2,53,59
Lyons,Barry,26,6,10,9,1,0,0,0,0,2,0,0,1,2
Lyons,Steve,26,101,275,247,30,56,9,3,1,20,4,6,19,47
Madden,Mike,29,13,14,9,0,0,0,0,0,0,0,0,1,8
Maddox,Garry,36,6,9,7,1,3,0,0,0,1,0,1,2,1
Maddux,Greg,20,6,13,12,0,4,0,0,0,0,0,0,0,3
Maddux,Mike,24,16,27,22,0,1,0,0,0,1,0,0,1,7
Madison,Scotti,26,2,8,7,0,0,0,0,0,1,0,0,0,3
Madlock,Bill,35,111,421,379,38,106,17,0,10,60,3,3,30,43
Magadan,Dave,23,10,21,18,3,8,0,0,0,3,0,0,3,1
Mahler,Rick,32,40,96,83,8,16,3,0,0,7,0,0,4,14
Maldonado,Candy,25,133,432,405,49,102,31,3,18,85,4,4,20,77
Manning,Rick,31,89,227,205,31,52,7,3,8,27,5,3,17,20
Manrique,Fred,24,13,18,17,2,3,0,0,1,1,1,0,1,1
Marshall,Mike,26,103,362,330,47,77,11,0,19,53,4,4,27,90
Martin,Mike,27,8,15,13,1,1,1,0,0,0,0,0,2,4
Martinez,Buck,37,81,185,160,13,29,8,0,2,12,0,0,20,25
Martinez,Carmelo,25,113,283,244,28,58,10,0,9,25,1,1,35,46
Martinez,Dennis,32,19,31,30,1,3,2,0,0,3,0,0,1,14
Martinez,Dave,21,53,116,108,13,15,1,1,1,7,4,2,6,22
Mason,Roger,28,11,22,21,0,1,0,0,0,0,0,0,0,13
Mathews,Greg,24,23,52,43,1,2,0,0,0,2,0,0,0,19
Matthews,Gary,35,123,432,370,49,96,16,1,21,46,3,2,60,59
Mattingly,Don,25,162,742,677,117,238,53,2,31,113,0,0,53,35
Matuszek,Len,31,91,222,199,26,52,7,0,9,28,2,2,21,47
Mazzilli,Lee,31,100,192,151,28,37,5,1,3,15,4,4,38,36
McClure,Bob,34,52,4,4,0,1,0,0,0,0,0,0,0,1
McCullers,Lance,22,76,28,22,4,2,2,0,0,3,1,0,3,11
McDowell,Roger,25,75,20,18,1,5,0,0,0,3,0,0,1,4
McDowell,Oddibe,23,154,643,572,105,152,24,7,18,49,33,15,65,112
McGaffigan,Andy,29,50,38,33,0,2,0,0,0,1,0,0,1,18
McGee,Willie,27,124,539,497,65,127,22,7,7,48,19,16,37,82
McGriff,Fred,22,3,5,5,1,1,0,0,0,0,0,0,0,2
McGwire,Mark,22,18,58,53,10,10,1,0,3,9,0,1,4,18
McLemore,Mark,21,5,6,4,0,0,0,0,0,0,0,1,1,2
McMurtry,Craig,26,40,18,16,3,2,0,0,0,0,1,0,1,9
McRae,Hal,40,112,299,278,22,70,14,0,7,37,0,0,18,39
McReynolds,Kevin,26,158,641,560,89,161,31,6,26,96,8,6,66,83
McWilliams,Larry,32,50,34,29,2,4,1,0,0,0,0,0,2,11
Meacham,Bob,25,56,185,161,19,36,7,1,0,10,3,6,17,39
Meadows,Louie,25,6,6,6,1,2,0,0,0,0,1,0,0,0
Melendez,Francisco,22,9,8,8,0,2,0,0,0,0,0,0,0,2
Melvin,Bob,24,89,289,268,24,60,14,2,5,25,3,2,15,69
Mercado,Orlando,24,46,112,102,7,24,1,1,1,7,0,1,6,13
Miller,Darrell,28,33,62,57,6,13,2,1,0,4,0,0,4,8
Milner,Eddie,31,145,462,424,70,110,22,6,15,47,18,11,36,56
Minton,Greg,34,48,7,5,2,2,1,0,0,0,0,0,2,3
Mitchell,John,20,4,2,2,0,0,0,0,0,0,0,0,0,1
Mitchell,Kevin,24,108,364,328,51,91,22,2,12,43,3,3,33,61
Mizerock,John,25,44,107,81,9,15,1,1,1,6,0,0,24,16
Molitor,Paul,29,105,482,437,62,123,24,6,9,55,20,5,40,81
Montalvo,Rafael,22,1,0,0,0,0,0,0,0,0,0,0,0,0
Moore,Bill,25,6,12,12,0,2,0,0,0,0,0,0,0,4
Moore,Charlie,33,80,264,235,24,61,12,3,3,39,5,5,21,38
Moore,Donnie,32,1,0,0,0,0,0,0,0,0,0,0,0,0
Moreland,Keith,32,156,652,586,72,159,30,0,12,79,3,6,53,48
Moreno,Omar,33,118,386,359,46,84,18,6,4,27,17,16,21,77
Morman,Russ,24,49,180,159,18,40,5,0,4,17,1,0,16,36
Morris,John,25,39,108,100,8,24,0,1,1,14,6,2,7,15
Morrison,Jim,33,154,593,537,58,147,35,4,23,88,9,8,47,88
Moseby,Lloyd,26,152,668,589,89,149,24,5,21,86,32,11,64,122
Moses,John,28,103,442,399,56,102,16,3,3,34,25,18,34,65
Motley,Darryl,26,77,240,227,23,46,10,1,7,20,0,2,12,32
Moyer,Jamie,23,16,30,22,3,2,0,0,0,0,0,0,4,5
Mulholland,Terry,23,15,20,19,0,1,0,0,0,0,0,0,0,8
Mulliniks,Rance,30,117,395,348,50,90,22,0,11,45,1,1,43,60
Mullins,Fran,29,28,44,40,3,7,4,0,0,5,0,0,2,11
Mumphrey,Jerry,33,111,339,309,37,94,11,2,5,32,2,3,26,45
Murphy,Dale,30,160,692,614,89,163,29,7,29,83,7,7,75,141
Murphy,Dwayne,31,98,400,329,50,83,11,3,9,39,3,1,56,80
Murphy,Rob,26,34,3,3,0,0,0,0,0,0,0,0,0,1
Murray,Eddie,30,137,578,495,61,151,25,1,17,84,3,0,78,49
Myers,Randy,23,10,0,0,0,0,0,0,0,0,0,0,0,0
Narron,Jerry,30,57,107,95,5,21,3,1,1,8,0,0,9,14
Nelson,Ricky,27,10,12,12,2,2,0,0,0,1,1,0,0,4
Nelson,Rob,22,5,10,9,1,2,1,0,0,0,0,0,1,4
Nettles,Graig,41,126,400,354,36,77,9,0,16,55,0,1,41,62
Newman,Al,26,95,212,185,23,37,3,0,1,8,11,11,21,20
Nichols,Carl,23,5,6,5,0,0,0,0,0,0,0,0,1,4
Nichols,Reid,27,74,150,136,9,31,4,0,2,18,5,4,11,23
Niedenfuer,Tom,26,60,5,4,1,2,0,0,0,2,0,0,0,1
Niemann,Randy,30,31,7,6,1,2,0,0,0,0,0,0,1,1
Nieto,Tom,25,30,72,65,5,13,3,1,1,7,0,1,6,21
Nixon,Otis,27,105,110,95,33,25,4,1,0,8,23,6,13,12
Nokes,Matt,22,7,25,24,2,8,1,0,1,2,0,0,1,1
O'Brien,Pete,28,156,641,551,86,160,23,3,23,90,4,4,87,66
O'Malley,Tom,25,56,200,181,19,46,9,0,1,18,0,1,17,21
O'Neill,Paul,23,3,3,2,0,0,0,0,0,0,0,0,1,1
Oberkfell,Ken,30,151,596,503,62,136,24,3,5,48,7,4,83,40
Oester,Ron,30,153,586,523,52,135,23,2,8,44,9,2,52,84
Oglivie,Ben,37,103,384,346,31,98,20,1,5,53,1,2,30,33
Ojeda,Bob,28,32,80,71,3,8,0,0,0,0,0,0,1,30
Olwine,Ed,28,37,4,3,0,1,0,0,0,0,0,0,1,1
Ontiveros,Steve,25,1,0,0,0,0,0,0,0,0,0,0,0,0
Oquendo,José,22,76,158,138,20,41,4,1,0,13,2,3,15,20
Orosco,Jesse,29,58,6,3,1,0,0,0,0,1,0,0,2,0
Orsulak,Joe,24,138,437,401,60,100,19,6,2,19,24,11,28,38
Orta,Jorge,35,106,361,336,35,93,14,2,9,46,0,3,23,34
Ortiz,Junior,26,49,122,110,11,37,6,0,0,14,0,1,9,13
Ouellette,Phil,24,10,26,23,1,4,0,0,0,0,0,0,3,3
Owchinko,Bob,31,3,6,5,1,1,0,0,0,0,0,0,1,3
Owen,Spike,25,154,593,528,67,122,24,7,1,45,4,4,51,51
Ownbey,Rick,28,17,10,7,0,0,0,0,0,0,0,0,0,1
Paciorek,Tom,39,88,220,213,17,61,7,0,4,22,1,3,3,41
Pagliarulo,Mike,26,149,565,504,71,120,24,3,28,71,4,1,54,120
Palmeiro,Rafael,21,22,78,73,9,18,4,0,3,12,1,1,4,6
Palmer,David,28,35,77,66,3,12,3,0,1,6,0,0,1,17
Pankovits,Jim,30,70,124,113,12,32,6,1,1,7,1,1,11,25
Pardo,Al,23,16,51,51,3,7,1,0,1,3,0,0,0,14
Parent,Mark,24,8,15,14,1,2,0,0,0,0,0,0,1,3
Paris,Kelly,28,5,10,10,0,2,0,0,0,0,0,1,0,3
Parker,Dave,35,162,700,637,89,174,31,3,31,116,1,6,56,126
Parrett,Jeff,24,12,2,2,0,1,0,0,0,0,0,0,0,1
Parrish,Lance,30,91,374,327,53,84,6,1,22,62,0,0,38,83
Parrish,Larry,32,129,524,464,67,128,22,1,28,94,3,1,52,114
Pasqua,Dan,24,102,332,280,44,82,17,0,16,45,2,0,47,78
Patterson,Bob,27,11,10,8,0,1,0,0,0,0,0,0,0,6
Pecota,Bill,26,12,34,29,3,6,2,0,0,2,0,2,3,3
Pena,Alejandro,27,24,20,17,0,3,0,0,0,1,0,0,0,6
Pena,Bert,26,15,34,29,3,6,1,0,0,2,1,0,5,5
Peña,Tony,29,144,565,510,56,147,26,2,10,52,9,10,53,69
Pena,Hipolito,22,10,0,0,0,0,0,0,0,0,0,0,0,0
Pendleton,Terry,25,159,626,578,56,138,26,5,1,59,24,6,34,59
Perconte,Jack,31,24,85,73,6,16,1,0,0,4,2,0,11,10
Perez,Tony,44,77,228,200,14,51,12,1,2,29,0,0,25,25
Perry,Gerald,25,29,80,70,6,19,2,0,2,11,0,1,8,4
Perry,Pat,27,46,8,8,0,0,0,0,0,0,0,0,0,4
Peters,Rick,30,44,45,38,7,7,1,0,0,1,2,2,7,7
Petralli,Geno,26,69,142,137,17,35,9,3,2,18,3,0,5,14
Pettis,Gary,28,154,628,539,93,139,23,4,5,58,50,13,69,132
Phelps,Ken,31,125,441,344,69,85,16,4,24,64,2,3,88,96
Phillips,Tony,27,118,532,441,76,113,14,5,5,52,15,10,76,82
Pittaro,Chris,24,11,21,21,0,2,0,0,0,0,0,0,0,8
Polidor,Gus,24,6,20,19,1,5,1,0,0,1,0,0,1,0
Porter,Darrell,34,68,178,155,21,41,6,0,12,29,1,1,22,51
Powell,Dennis,22,27,14,14,1,3,3,0,0,0,0,0,0,6
Power,Ted,31,56,30,24,3,3,1,0,0,1,1,0,3,12
Presley,Jim,24,155,660,616,83,163,33,4,27,107,0,4,32,172
Price,Joe,29,25,8,7,0,1,0,0,0,2,0,0,1,1
Pryor,Greg,36,63,117,112,7,19,4,0,0,7,1,1,3,14
Puckett,Kirby,26,161,723,680,119,223,37,6,31,96,20,12,34,99
Puhl,Terry,29,81,193,172,17,42,10,0,3,14,3,2,15,24
Puleo,Charlie,31,5,7,6,0,2,0,0,0,3,0,0,0,3
Pyznarski,Tim,26,15,47,42,3,10,1,0,0,0,2,0,4,11
Quinones,Rey,22,98,346,312,32,68,16,1,2,22,4,3,24,57
Quinones,Luis,24,71,115,106,13,19,1,3,0,11,3,1,3,17
Quirk,Jamie,31,80,238,219,24,47,10,0,8,26,0,1,17,41
Raines,Tim,26,151,664,580,91,194,35,10,9,62,70,9,78,60
Ramirez,Rafael,28,134,530,496,57,119,21,1,8,33,19,8,21,60
Ramos,Domingo,28,49,110,99,8,18,2,0,0,5,0,1,8,13
Randolph,Willie,31,141,601,492,76,136,15,2,5,50,15,2,94,49
Rawley,Shane,30,23,64,52,5,9,2,0,0,1,0,0,1,18
Ray,Johnny,29,155,654,579,67,174,33,0,7,78,6,9,58,47
Rayford,Floyd,28,81,228,210,15,37,4,0,8,19,0,0,15,50
Ready,Randy,26,24,92,82,8,15,4,0,1,4,2,0,9,10
Reardon,Jeff,30,62,9,8,0,1,0,0,0,0,0,0,0,6
Redus,Gary,29,90,392,340,62,84,22,4,11,33,25,7,47,78
Reed,Jerry,30,1,0,0,0,0,0,0,0,0,0,0,0,0
Reed,Jeff,23,68,185,165,13,39,6,1,2,9,1,0,16,19
Renteria,Rick,24,10,12,12,2,3,1,0,0,1,0,0,0,4
Reuschel,Rick,37,43,81,70,7,11,2,0,0,6,0,0,3,19
Reuss,Jerry,37,19,21,20,0,5,1,0,0,0,0,0,1,6
Reynolds,Ronn,27,43,132,126,8,27,4,0,3,10,0,0,5,30
Reynolds,Harold,25,126,486,445,46,99,19,4,1,24,30,12,29,42
Reynolds,R.J.,27,118,449,402,63,108,30,2,9,48,16,9,40,78
Reynolds,Craig,33,114,329,313,32,78,7,3,6,41,3,1,12,31
Rhoden,Rick,33,41,101,90,9,25,9,0,1,10,0,1,3,13
Rice,Jim,33,157,693,618,98,200,39,2,20,110,0,1,62,78
Riles,Ernie,25,145,588,524,69,132,24,2,9,47,7,7,54,80
Riley,George,29,10,0,0,0,0,0,0,0,0,0,0,0,0
Ripken Jr.,Cal,25,162,707,627,98,177,35,1,25,81,4,2,70,60
Rivera,Luis,22,55,187,166,20,34,11,1,0,13,1,1,17,33
Roberge,Bert,31,21,2,2,0,0,0,0,0,0,0,0,0,0
Roberts,Bip,22,101,258,241,34,61,5,2,1,12,14,12,14,29
Robinson,Don,29,50,6,6,1,4,1,0,0,1,0,0,0,1
Robinson,Jeff,25,65,17,15,0,1,0,0,0,2,0,0,0,7
Robinson,Ron,24,70,14,14,1,1,0,0,0,0,0,0,0,3
Rodriguez,Ruben,21,2,3,3,0,0,0,0,0,0,0,0,0,1
Roenicke,Gary,31,69,165,136,11,36,5,0,3,18,1,1,27,30
Roenicke,Ron,29,102,343,275,42,68,13,1,5,42,2,2,61,52
Rohn,Dan,30,6,11,10,1,2,0,0,0,2,0,0,1,1
Romero,Ed,28,100,263,233,41,49,11,0,2,23,2,0,18,16
Romine,Kevin,25,35,39,35,6,9,2,0,0,2,2,0,3,9
Rose,Pete,45,72,272,237,15,52,8,2,0,25,3,0,30,31
Rowdon,Wade,25,38,92,80,9,20,5,1,0,10,2,0,9,17
Royster,Jerry,33,118,298,257,31,66,12,0,5,26,3,5,32,45
Rucker,Dave,28,19,1,1,0,0,0,0,0,0,0,0,0,0
Ruffin,Bruce,22,21,56,55,2,4,1,0,0,2,0,0,0,32
Runge,Paul,28,7,10,8,1,2,0,0,0,0,0,0,2,4
Runnells,Tom,31,12,11,11,1,1,1,0,0,0,0,0,0,2
Russell,Bill,37,105,242,216,21,54,11,0,0,18,7,0,15,23
Russell,John,25,93,348,315,35,76,21,2,13,60,0,1,25,103
Ruthven,Dick,35,6,1,1,0,0,0,0,0,0,0,0,0,1
Ryal,Mark,25,13,34,32,6,12,0,0,2,5,1,0,2,4
Ryan,Nolan,39,30,63,59,1,6,0,0,0,5,0,1,1,22
Sakata,Lenn,32,17,38,34,4,12,2,0,0,5,0,1,3,6
Salas,Mark,25,91,285,258,28,60,7,4,8,33,3,1,18,32
Salazar,Angel,24,117,313,298,24,73,20,2,0,24,1,1,7,47
Salazar,Luis,30,4,8,7,1,1,0,0,0,0,0,0,1,3
Sample,Billy,31,92,221,200,23,57,11,0,6,14,4,2,14,26
Samuel,Juan,25,145,633,591,90,157,36,12,16,78,42,14,26,142
Sanchez,Alejandro,27,8,17,16,1,2,0,0,0,1,0,0,1,8
Sandberg,Ryne,26,154,682,627,68,178,28,5,14,76,34,11,46,79
Sanderson,Scott,29,38,58,51,1,3,1,0,0,2,0,0,0,23
Santana,Rafael,28,139,436,394,38,86,11,0,1,28,0,0,36,43
Santiago,Benito,21,17,65,62,10,18,2,0,3,6,0,1,2,12
Sauveur,Rich,22,3,4,3,0,1,0,0,0,0,0,0,0,1
Sax,Dave,27,4,11,11,1,5,1,0,1,1,0,0,0,1
Sax,Steve,26,157,704,633,91,210,43,4,6,56,40,17,59,58
Schatzeder,Dan,31,58,31,26,5,10,2,1,1,2,0,0,5,10
Schelle Tarver,La,27,13,26,25,3,3,0,0,0,1,0,1,1,4
Schmidt,Mike,36,160,657,552,97,160,29,1,37,119,1,2,89,84
Schofield,Dick,23,139,529,458,67,114,17,6,13,57,23,5,48,55
Schroeder,Bill,27,64,237,217,32,46,14,0,7,19,1,0,9,59
Schu,Rick,24,92,233,208,32,57,10,1,8,25,2,2,18,44
Scioscia,Mike,27,122,449,374,36,94,18,1,5,26,3,3,62,23
Scott,Mike,31,38,107,95,7,12,2,0,0,3,0,0,2,48
Sebra,Bob,24,18,30,29,2,6,1,0,0,0,0,0,1,5
See,Larry,26,13,22,20,1,5,2,0,0,2,0,0,2,7
Seitzer,Kevin,24,28,116,96,16,31,4,1,2,11,0,0,19,14
Sheets,Larry,26,112,364,338,42,92,17,1,18,60,2,0,21,56
Shelby,John,28,135,428,404,54,92,14,4,11,49,18,6,18,75
Shepherd,Ron,25,65,73,69,16,14,4,0,2,4,0,0,3,22
Sheridan,Pat,28,98,262,236,41,56,9,1,6,19,9,2,21,57
Shields,Steve,27,6,1,1,0,0,0,0,0,0,0,0,0,1
Shipley,Craig,23,12,31,27,3,3,1,0,0,4,0,0,2,5
Show,Eric,30,24,47,43,2,7,2,0,0,1,0,0,1,14
Sierra,Ruben,20,113,411,382,50,101,13,10,16,55,7,8,22,65
Simmons,Ted,36,76,144,127,14,32,5,0,4,25,1,0,12,14
Sisk,Doug,28,41,4,4,0,0,0,0,0,0,0,0,0,2
Skinner,Joel,25,114,336,315,23,73,9,1,5,37,1,4,16,83
Slaton,Jim,36,1,0,0,0,0,0,0,0,0,0,0,0,0
Slaught,Don,27,95,341,314,39,83,17,1,13,46,3,2,16,59
Smalley,Roy,33,143,530,459,59,113,20,4,20,57,1,3,68,80
Smiley,John,21,12,0,0,0,0,0,0,0,0,0,0,0,0
Smith,Bryn,30,30,67,58,3,8,1,0,1,7,0,0,4,17
Smith,Dave,31,54,2,2,0,0,0,0,0,0,0,0,0,0
Smith,Lee,28,66,5,5,0,0,0,0,0,0,0,0,0,5
Smith,Lonnie,30,134,568,508,80,146,25,7,8,44,26,9,46,78
Smith,Mike,25,2,0,0,0,0,0,0,0,0,0,0,0,0
Smith,Ozzie,31,153,609,514,67,144,19,4,0,54,31,7,79,27
Smith,Zane,25,43,71,59,2,5,0,0,0,3,0,0,2,19
Snyder,Cory,23,103,433,416,58,113,21,1,24,69,2,3,16,123
Soff,Ray,27,30,3,2,0,0,0,0,0,0,0,0,0,2
Solano,Julio,26,16,7,6,0,0,0,0,0,0,0,0,0,5
Soto,Mario,29,20,33,27,2,3,1,0,0,1,0,0,0,6
Speck,Cliff,29,13,5,3,0,0,0,0,0,0,0,0,1,3
Speier,Chris,36,95,176,155,21,44,8,0,6,23,2,2,15,32
Spilman,Harry,31,82,159,143,18,39,9,0,5,30,0,0,15,21
St. Claire,Randy,25,11,2,1,0,0,0,0,0,0,0,0,0,1
Stanley,Mike,23,15,33,30,4,10,3,0,1,1,1,0,3,7
Stapleton,Dave,32,39,42,39,4,5,1,0,0,3,0,0,2,10
Stefero,John,26,52,137,120,14,28,2,0,2,13,0,1,16,25
Steinbach,Terry,24,6,16,15,3,5,0,0,2,4,0,0,1,0
Stenhouse,Mike,28,21,34,21,1,2,1,0,0,1,0,0,12,5
Stewart,Dave,29,8,0,0,0,0,0,0,0,0,0,0,0,0
Stieb,Dave,28,1,0,0,1,0,0,0,0,0,0,0,0,0
Stillwell,Kurt,21,104,315,279,31,64,6,1,0,26,6,2,30,47
Stoddard,Bob,29,18,1,1,0,0,0,0,0,0,0,0,0,1
Stoddard,Tim,33,30,4,4,1,1,0,0,1,1,0,0,0,2
Stone,Jeff,25,82,275,249,32,69,6,4,6,19,19,6,20,52
Strawberry,Darryl,24,136,562,475,76,123,27,5,27,93,28,12,72,141
Stubbs,Franklin,25,132,465,420,55,95,11,1,23,58,7,1,37,107
Sullivan,Marc,27,41,134,119,15,23,4,0,1,14,0,0,7,32
Sundberg,Jim,35,140,491,429,41,91,9,1,12,42,1,1,57,91
Sutcliffe,Rick,30,29,60,53,3,11,2,0,1,4,0,0,2,13
Sutter,Bruce,33,16,1,1,0,0,0,0,0,0,0,0,0,1
Sveum,Dale,22,91,356,317,35,78,13,2,7,35,4,3,32,63
Tabler,Pat,28,130,508,473,61,154,29,2,6,48,3,1,29,75
Tartabull,Danny,23,137,578,511,76,138,25,6,25,96,4,8,61,157
Taylor,Dwight,26,4,2,2,1,0,0,0,0,0,0,0,0,0
Tejada,Wilfredo,23,10,27,25,1,6,1,0,0,2,0,0,2,8
Tekulve,Kent,39,73,6,5,1,0,0,0,0,0,0,0,1,1
Templeton,Garry,30,147,549,510,42,126,21,2,2,44,10,5,35,86
Terry,Scott,26,30,6,4,3,1,0,0,0,0,0,0,1,1
Tettleton,Mickey,25,90,262,211,26,43,9,0,10,35,7,1,39,51
Teufel,Tim,27,93,318,279,35,69,20,1,4,31,1,2,32,42
Thomas,Andres,22,102,335,323,26,81,17,2,6,32,4,6,8,49
Thomas,Gorman,35,101,377,315,45,59,8,1,16,36,3,4,58,105
Thompson,Robby,24,149,615,549,73,149,27,3,7,47,12,15,42,112
Thompson,Jason,31,30,69,51,6,10,4,0,0,4,0,1,18,12
Thompson,Milt,27,96,332,299,38,75,7,1,6,23,19,4,26,62
Thon,Dickie,28,106,309,278,24,69,13,1,3,21,6,5,29,49
Thornton,Andre,36,120,475,401,49,92,14,0,17,66,4,1,65,67
Thurmond,Mark,29,18,26,24,0,6,1,0,0,6,0,0,0,3
Tibbs,Jay,24,36,62,54,2,7,1,0,0,0,0,0,4,31
Tillman,Rusty,25,22,42,39,6,10,1,0,1,6,2,0,3,11
Toliver,Freddie,25,5,8,6,0,0,0,0,0,0,1,0,1,1
Tolleson,Wayne,30,141,546,475,61,126,16,5,3,43,17,10,52,76
Tolman,Tim,30,16,43,34,4,6,1,0,0,2,1,1,6,4
Tomlin,Dave,37,7,0,0,0,0,0,0,0,0,0,0,0,0
Traber,Jim,24,65,240,212,28,54,7,0,13,44,0,0,18,31
Trammell,Alan,28,151,653,574,107,159,33,7,21,75,25,12,59,57
Trevino,Alex,28,89,233,202,31,53,13,0,4,26,0,0,27,35
Trillo,Manny,35,81,172,152,22,45,10,0,1,19,0,2,16,21
Trout,Steve,28,37,48,43,5,9,1,0,0,3,0,0,1,15
Tudor,John,32,30,87,72,6,11,1,0,0,6,0,0,1,22
Upshaw,Willie,29,155,661,573,85,144,28,6,9,60,23,5,78,87
Uribe,Jose,27,157,517,453,46,101,15,1,3,43,22,11,61,76
Valdez,Sergio,21,5,8,8,0,1,0,0,0,0,0,0,0,3
Valenzuela,Fernando,25,39,116,109,5,24,4,0,0,7,0,0,0,11
Valle,Dave,25,22,60,53,10,18,3,0,5,15,0,0,7,7
Van Gorder,Dave,29,9,11,10,0,0,0,0,0,0,0,0,1,2
Van Slyke,Andy,25,137,470,418,48,113,23,7,13,61,21,8,47,85
Vande Berg,Ed,27,60,1,1,0,0,0,0,0,0,0,0,0,1
Venable,Max,29,108,168,147,17,31,7,1,2,15,7,2,17,24
Virgil,Ozzie,29,114,431,359,45,80,9,0,15,48,1,0,63,73
Vosberg,Ed,24,5,2,2,0,0,0,0,0,0,0,0,0,1
Walk,Bob,29,44,42,39,2,6,3,0,0,7,0,2,1,11
Walker,Tony,26,84,101,90,19,20,7,0,2,10,11,3,11,15
Walker,Chico,28,28,112,101,21,28,3,2,1,7,15,4,10,20
Walker,Greg,26,78,316,282,37,78,10,6,13,51,1,2,29,44
Wallach,Tim,28,134,539,480,50,112,22,1,18,71,8,4,44,72
Walling,Denny,32,130,422,382,54,119,23,1,13,58,1,1,36,31
Walter,Gene,25,57,13,10,0,2,1,0,0,0,0,0,1,4
Ward,Duane,22,10,1,1,0,0,0,0,0,0,0,0,0,0
Ward,Gary,32,105,418,380,54,120,15,2,5,51,12,8,31,72
Washington,Ron,34,48,81,74,15,19,3,0,4,11,1,2,3,21
Washington,Claudell,31,94,297,272,36,69,16,0,11,30,10,8,21,59
Wasinger,Mark,24,3,9,8,0,0,0,0,0,1,0,0,0,2
Webster,Mitch,27,151,645,576,89,167,31,13,8,49,36,15,57,78
Wegman,Bill,23,2,0,0,1,0,0,0,0,0,0,0,0,0
Welch,Bob,29,35,86,76,2,8,0,0,1,4,0,0,4,23
Wellman,Brad,26,12,14,13,0,2,0,0,0,1,0,0,1,2
Welsh,Chris,31,24,48,42,3,5,2,0,1,4,1,0,2,19
Whitaker,Lou,29,144,651,584,95,157,26,6,20,73,13,8,63,70
White,Frank,35,151,620,566,76,154,37,3,22,84,4,4,43,88
White,Devon,23,29,57,51,8,12,1,1,1,3,6,0,6,8
White,Jerry,33,25,29,24,1,3,0,0,1,3,0,0,2,3
Whitfield,Terry,33,19,19,14,0,1,0,0,0,0,0,0,5,2
Whitson,Ed,31,17,20,18,1,3,0,0,0,0,0,0,0,8
Whitt,Ernie,34,131,433,395,48,106,19,2,16,56,0,1,35,39
Wiggins,Alan,28,71,270,239,30,60,3,1,0,11,21,7,22,20
Wilfong,Rob,32,92,316,288,25,63,11,3,3,33,1,4,16,34
Wilkerson,Curt,25,110,249,236,27,56,10,3,0,15,9,7,11,42
Willard,Jerry,26,75,193,161,17,43,7,0,4,26,0,1,22,28
Williams,Eddie,21,5,7,7,2,1,0,0,0,1,0,0,0,3
Williams,Frank,28,36,3,2,0,1,0,0,0,0,0,0,0,1
Williams,Ken,22,15,33,31,2,4,0,0,1,1,1,1,1,11
Williams,Reggie,25,128,338,303,35,84,14,2,4,32,9,3,23,57
Willis,Carl,25,29,4,3,0,1,0,0,0,0,0,0,0,0
Wilson,Glenn,27,155,639,584,70,158,30,4,15,84,5,1,42,91
